session_id,participant_id,enumerator_id,treatment_group,language,currency_rate,app_version,round_index,is_practice,dose,fertilizer_used,savings,rain_outcome,rain_seed,rain_draw,price_outcome,price_seed,price_draw,yield,price_level,revenue,decision_start_time,decision_end_time,decision_duration_ms,dose_trajectory_json
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,9,false,5,true,20,drought,Eh-r9-rain,0.8275905513478407,low,Eh-r9-price,0.7593682288431075,2,0.6,20,2026-06-08T04:59:38.615Z,2026-06-08T04:59:41.775Z,3159.800000011921,"[{""t"":461205.5,""value"":1},{""t"":461400.60000002384,""value"":2},{""t"":461583.10000002384,""value"":3},{""t"":461746.60000002384,""value"":4},{""t"":461927.1999999881,""value"":5}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,practice,true,8,true,17,good,2-rpractice-rain,0.28465667075262824,mid,2-rpractice-price,0.6294311629844843,25.216,1,30.216,2026-06-04T16:44:18.565Z,2026-06-04T16:44:27.655Z,9089.79999999993,"[{""t"":135620.8999999999,""value"":1},{""t"":137343.79999999993,""value"":2},{""t"":137543,""value"":3},{""t"":137729.09999999998,""value"":4},{""t"":138244.8999999999,""value"":5},{""t"":138894.69999999995,""value"":6},{""t"":139221.29999999993,""value"":7},{""t"":139788,""value"":8}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,0,false,10,true,15,good,2-r0-rain,0.1697633019377156,mid,2-r0-price,0.28390705160251317,27.119999999999997,1,30.119999999999997,2026-06-04T16:44:35.811Z,2026-06-04T16:44:44.242Z,8430.699999999953,"[{""t"":152723.80000000005,""value"":1},{""t"":152937.5,""value"":2},{""t"":153122.3999999999,""value"":3},{""t"":154806.8999999999,""value"":4},{""t"":154960.69999999995,""value"":5},{""t"":155146.69999999995,""value"":6},{""t"":155372.5,""value"":7},{""t"":155824.69999999995,""value"":8},{""t"":156624.69999999995,""value"":9},{""t"":156798.69999999995,""value"":10}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,1,false,5,true,20,normal,2-r1-rain,0.6264214831209145,mid,2-r1-price,0.1967699770324429,14.65,1,26.65,2026-06-04T16:44:54.049Z,2026-06-04T16:45:00.337Z,6287.399999999907,"[{""t"":169944,""value"":1},{""t"":170123,""value"":2},{""t"":170290,""value"":3},{""t"":171359.59999999986,""value"":4},{""t"":171859,""value"":5}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,2,false,2,true,23,good,2-r2-rain,0.23789922327917573,low,2-r2-price,0.8778771995756699,16.144,0.6,25.4864,2026-06-04T16:45:11.411Z,2026-06-04T16:45:14.879Z,3468,"[{""t"":187356.3999999999,""value"":1},{""t"":187729.19999999995,""value"":2}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,3,false,4,true,21,normal,2-r3-rain,0.6482953145693964,low,2-r3-price,0.8823160446132449,13.52,0.6,24.312,2026-06-04T16:45:20.891Z,2026-06-04T16:45:25.037Z,4145.300000000047,"[{""t"":197021.59999999986,""value"":1},{""t"":197358.80000000005,""value"":2},{""t"":197543.3999999999,""value"":3},{""t"":197753.69999999995,""value"":4}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,4,false,2,true,23,good,2-r4-rain,0.14906981491493973,mid,2-r4-price,0.2887288136077382,16.144,1,27.144,2026-06-04T16:45:32.117Z,2026-06-04T16:45:35.836Z,3718.899999999907,"[{""t"":208237.8999999999,""value"":1},{""t"":208961.8999999999,""value"":2}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,5,false,10,true,15,good,2-r5-rain,0.6293526125644215,mid,2-r5-price,0.6586312644891502,27.119999999999997,1,30.119999999999997,2026-06-04T16:45:40.323Z,2026-06-04T16:45:45.385Z,5061.699999999953,"[{""t"":216461,""value"":1},{""t"":216630.80000000005,""value"":2},{""t"":216803.80000000005,""value"":3},{""t"":216975.30000000005,""value"":4},{""t"":217132.8999999999,""value"":5},{""t"":217302.69999999995,""value"":6},{""t"":217475.69999999995,""value"":7},{""t"":217773.80000000005,""value"":8},{""t"":218259.30000000005,""value"":9},{""t"":218684.8999999999,""value"":10}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,6,false,8,true,17,drought,2-r6-rain,0.9732183932942823,low,2-r6-price,0.9956437084437086,2,0.6,17,2026-06-04T16:45:51.757Z,2026-06-04T16:45:56.751Z,4993.799999999814,"[{""t"":227343.09999999986,""value"":1},{""t"":227557.59999999986,""value"":2},{""t"":227757.09999999986,""value"":3},{""t"":227932.30000000005,""value"":4},{""t"":228308.69999999995,""value"":5},{""t"":228716.80000000005,""value"":6},{""t"":229451.3999999999,""value"":7},{""t"":229960.3999999999,""value"":8}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,7,false,1,true,24,good,2-r7-rain,0.03852359817917051,mid,2-r7-price,0.33628275230102855,14.142,1,26.142,2026-06-04T16:46:04.891Z,2026-06-04T16:46:08.092Z,3201.5,"[{""t"":241521.30000000005,""value"":1}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,8,false,3,true,22,good,2-r8-rain,0.3195229438969949,high,2-r8-price,0.243481955685877,18.006,1.6,31.6096,2026-06-04T16:46:16.058Z,2026-06-04T16:46:27.591Z,11532.90000000014,"[{""t"":253454.09999999986,""value"":1},{""t"":253767.59999999986,""value"":2},{""t"":254535.80000000005,""value"":3}]"
1e82a795-f0f2-4169-898a-46fc113b9ee5,2,4,,en,5,0.3.0-v2,9,false,2,true,23,good,2-r9-rain,0.3484180862980674,low,2-r9-price,0.7792710530665375,16.144,0.6,25.4864,2026-06-04T16:46:33.244Z,2026-06-04T16:46:36.256Z,3011.1999999999534,"[{""t"":269073.69999999995,""value"":1},{""t"":269219.3999999999,""value"":2}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,practice,true,4,true,21,good,2-rpractice-rain,0.28465667075262824,mid,2-rpractice-price,0.6294311629844843,19.728,1,28.728,2026-06-05T11:59:12.944Z,2026-06-05T11:59:26.328Z,13383.800000000745,"[{""t"":78699.39999999944,""value"":1},{""t"":79548.79999999981,""value"":2},{""t"":79737.29999999981,""value"":3},{""t"":79988.59999999963,""value"":4}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,0,false,10,true,15,good,2-r0-rain,0.1697633019377156,mid,2-r0-price,0.28390705160251317,27.119999999999997,1,30.119999999999997,2026-06-05T11:59:30.605Z,2026-06-05T11:59:47.458Z,16853.400000000373,"[{""t"":88173,""value"":1},{""t"":88739.19999999925,""value"":2},{""t"":89007.19999999925,""value"":3},{""t"":89839.29999999981,""value"":4},{""t"":97145.59999999963,""value"":5},{""t"":97636.39999999944,""value"":6},{""t"":98586.5,""value"":7},{""t"":98712.59999999963,""value"":8},{""t"":99246.29999999981,""value"":9},{""t"":100507,""value"":10}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,1,false,5,true,20,normal,2-r1-rain,0.6264214831209145,mid,2-r1-price,0.1967699770324429,14.65,1,26.65,2026-06-05T11:59:54.180Z,2026-06-05T11:59:57.683Z,3502.2999999998137,"[{""t"":111373.19999999925,""value"":1},{""t"":111705.5,""value"":2},{""t"":111859.39999999944,""value"":3},{""t"":112005.89999999944,""value"":4},{""t"":112152.09999999963,""value"":5}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,2,false,1,true,24,good,2-r2-rain,0.23789922327917573,low,2-r2-price,0.8778771995756699,14.142,0.6,25.2852,2026-06-05T12:00:01.677Z,2026-06-05T12:00:05.105Z,3427.7999999998137,"[{""t"":119804.09999999963,""value"":1}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,3,false,4,true,21,normal,2-r3-rain,0.6482953145693964,low,2-r3-price,0.8823160446132449,13.52,0.6,24.312,2026-06-05T12:00:11.838Z,2026-06-05T12:00:15.812Z,3974.2000000001863,"[{""t"":128834.59999999963,""value"":1},{""t"":129201.09999999963,""value"":2},{""t"":129408.89999999944,""value"":3},{""t"":129655.29999999981,""value"":4}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,4,false,3,true,22,good,2-r4-rain,0.14906981491493973,mid,2-r4-price,0.2887288136077382,18.006,1,28.006,2026-06-05T12:00:22.209Z,2026-06-05T12:00:25.948Z,3739.399999999441,"[{""t"":139409.69999999925,""value"":1},{""t"":139858.5,""value"":2},{""t"":140083.5,""value"":3}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,5,false,10,true,15,good,2-r5-rain,0.6293526125644215,mid,2-r5-price,0.6586312644891502,27.119999999999997,1,30.119999999999997,2026-06-05T12:00:31.492Z,2026-06-05T12:00:37.711Z,6218.799999999814,"[{""t"":148387.7999999998,""value"":1},{""t"":148749.2999999998,""value"":2},{""t"":148905.5,""value"":3},{""t"":149103.2999999998,""value"":4},{""t"":149457.19999999925,""value"":5},{""t"":150438.2999999998,""value"":6},{""t"":151224.89999999944,""value"":7},{""t"":151608.59999999963,""value"":8},{""t"":151800.7999999998,""value"":9},{""t"":151973.39999999944,""value"":10}]"
